sbatch_run,rule_name,snakemake_jobid,slurm_jobid,submit_time,finish_time,status,mem_mb,runtime_min,cpus,wildcards,actual_duration_min,pct_runtime_used,cpu_efficiency,error_type,error_msg,log_path
run-1,get_obo_labels,5,74095,2025-12-08 21:09,2025-12-08 21:19,success,64000,120,4,,10.5,8.7,,,,babel_outputs/logs/rule_get_obo_labels/74095.log
run-1,get_obo_synonyms,6,74099,2025-12-08 21:09,2025-12-08 21:20,success,64000,120,4,,11.2,9.3,,,,babel_outputs/logs/rule_get_obo_synonyms/74099.log
run-1,get_anatomy_obo_relationships,7,74149,2025-12-08 21:10,—,failed,64000,120,4,,,,,JSONDecodeError,Invalid control character at: line 2909294 column 46 (char 81477655),babel_outputs/logs/rule_get_anatomy_obo_relationships/74149.log
run-1,get_anatomy_umls_relationships,8,74207,2025-12-08 21:23,2025-12-08 21:24,success,64000,120,4,,1.3,1.1,,,,babel_outputs/logs/rule_get_anatomy_umls_relationships/74207.log
run-1,download_umls,9,74105,2025-12-08 21:09,2025-12-08 21:22,success,64000,120,4,,13.3,11.1,,,,babel_outputs/logs/rule_download_umls/74105.log
run-1,anatomy_umls_ids,10,74195,2025-12-08 21:22,2025-12-08 21:23,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_anatomy_umls_ids/74195.log
run-1,get_wikidata_cell_relationships,11,74103,2025-12-08 21:09,2025-12-08 21:10,success,64000,120,4,,0.6,0.5,,,,babel_outputs/logs/rule_get_wikidata_cell_relationships/74103.log
run-1,anatomy_uberon_ids,12,74110,2025-12-08 21:09,2025-12-08 21:12,success,64000,120,4,,3.3,2.7,,,,babel_outputs/logs/rule_anatomy_uberon_ids/74110.log
run-1,anatomy_go_ids,13,74117,2025-12-08 21:10,2025-12-08 21:10,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_anatomy_go_ids/74117.log
run-1,anatomy_cl_ids,14,74075,2025-12-08 21:09,2025-12-08 21:10,success,64000,120,4,,0.6,0.5,,,,babel_outputs/logs/rule_anatomy_cl_ids/74075.log
run-1,anatomy_mesh_ids,15,74182,2025-12-08 21:11,2025-12-08 21:13,success,64000,120,4,,2.0,1.7,,,,babel_outputs/logs/rule_anatomy_mesh_ids/74182.log
run-1,get_mesh,16,74123,2025-12-08 21:10,2025-12-08 21:11,success,64000,120,4,,1.4,1.1,,,,babel_outputs/logs/rule_get_mesh/74123.log
run-1,anatomy_ncit_ids,17,74127,2025-12-08 21:10,2025-12-08 21:10,success,64000,120,4,,0.7,0.6,,,,babel_outputs/logs/rule_anatomy_ncit_ids/74127.log
run-1,get_icrdf,18,74190,2025-12-08 21:20,2025-12-08 21:28,success,64000,120,4,,7.8,6.5,,,,babel_outputs/logs/rule_get_icrdf/74190.log
run-1,get_obo_descriptions,19,74073,2025-12-08 21:09,2025-12-08 21:15,success,64000,120,4,,6.0,5.0,,,,babel_outputs/logs/rule_get_obo_descriptions/74073.log
run-1,chembl_labels_and_smiles,28,74184,2025-12-08 21:14,2025-12-08 21:39,success,128000,120,4,,25.6,21.3,,,,babel_outputs/logs/rule_chembl_labels_and_smiles/74184.log
